resume_id,job_id,overlap_ratio,label
r_375,AI00154,0.25,0
r_562,AI02390,0.25,0
r_89,AI12303,0.25,0
r_89,AI13965,0.25,0
r_200,AI09009,0.25,0
r_134,AI10310,0.25,0
r_187,AI02168,0.25,0
r_575,AI12021,0.25,0
r_111,AI06508,0.2,0
r_134,AI08637,0.25,0
r_93,AI07150,0.2,0
r_566,AI10173,0.2,0
r_2130,AI08237,0.5,1
r_588,AI02344,0.2,0
r_539,AI03441,0.2,0
r_632,AI10648,0.5,1
r_656,AI04807,0.2,0
r_58,AI14610,0.2,0
r_224,AI01798,0.2,0
r_58,AI05754,0.2,0
r_89,AI01107,0.5,1
r_160,AI03784,0.2,0
r_187,AI09969,0.25,0
r_200,AI04678,0.2,0
r_93,AI09627,0.25,0
r_209,AI06774,0.2,0
r_451,AI06180,0.2,0
r_673,AI08487,0.2,0
r_451,AI07255,0.2,0
r_562,AI03559,0.2,0
r_632,AI09879,0.2,0
r_224,AI08790,0.2,0
r_406,AI10932,0.25,0
r_2922,AI00156,0.5,1
r_174,AI07904,0.25,0
r_566,AI00817,0.25,0
r_406,AI03441,0.2,0
r_224,AI09574,0.25,0
r_209,AI05577,0.2,0
r_599,AI04214,0.2,0
r_224,AI01722,0.2,0
r_561,AI01517,0.2,0
r_406,AI12741,0.25,0
r_12,AI02073,0.2,0
r_656,AI05365,0.25,0
r_160,AI09307,0.25,0
r_209,AI00170,0.25,0
r_132,AI03161,0.2,0
r_89,AI01085,0.2,0
r_599,AI11028,0.2,0
r_539,AI04201,0.2,0
r_89,AI08293,0.25,0
r_632,AI08182,0.25,0
r_503,AI11748,0.5,1
r_632,AI09442,0.25,0
r_406,AI11943,0.2,0
r_93,AI06230,0.25,0
r_174,AI09545,0.5,1
r_588,AI07838,0.25,0
r_132,AI08007,0.25,0
r_503,AI09839,0.2,0
r_599,AI08531,0.2,0
r_768,AI09434,0.5,1
r_503,AI05508,0.25,0
r_224,AI14981,0.2,0
r_451,AI14167,0.2,0
r_58,AI11270,0.2,0
r_375,AI08148,0.2,0
r_451,AI11767,0.2,0
r_562,AI11212,0.5,1
r_134,AI01943,0.25,0
r_200,AI09006,0.25,0
r_12,AI10881,0.25,0
r_132,AI12029,0.25,0
r_12,AI08756,0.25,0
r_2504,AI08237,0.5,1
r_375,AI09674,0.25,0
r_561,AI05332,0.2,0
r_1790,AI10768,0.5,1
r_58,AI04776,0.25,0
r_224,AI06855,0.25,0
r_588,AI04798,0.25,0
r_2509,AI03574,0.5,1
r_673,AI00420,0.2,0
r_503,AI01491,0.25,0
r_111,AI13713,0.25,0
r_594,AI12105,0.2,0
r_632,AI04771,0.2,0
r_200,AI07877,0.2,0
r_588,AI09237,0.25,0
r_632,AI06762,0.2,0
r_599,AI09476,0.25,0
r_503,AI06877,0.2,0
r_2667,AI11959,0.5,1
r_673,AI11397,0.2,0
r_2509,AI10768,0.5,1
r_588,AI12452,0.2,0
r_160,AI03484,0.2,0
r_406,AI07313,0.25,0
r_200,AI05766,0.25,0
r_1790,AI14781,0.5,1
r_93,AI02430,0.25,0
r_1702,AI01107,0.5,1
r_134,AI03003,0.25,0
r_134,AI11019,0.2,0
r_673,AI09977,0.25,0
r_200,AI11600,0.2,0
r_187,AI08706,0.25,0
r_656,AI12697,0.25,0
r_406,AI14600,0.25,0
r_562,AI01886,0.25,0
r_93,AI08790,0.2,0
r_673,AI08532,0.2,0
r_160,AI00604,0.25,0
r_346,AI09436,0.2,0
r_375,AI07606,0.2,0
r_58,AI06608,0.25,0
r_406,AI08018,0.2,0
r_89,AI00439,0.25,0
r_12,AI12447,0.2,0
r_209,AI08879,0.25,0
r_132,AI02977,0.25,0
r_132,AI10439,0.25,0
r_539,AI10302,0.25,0
r_58,AI05190,0.2,0
r_111,AI04766,0.25,0
r_575,AI05801,0.25,0
r_89,AI04159,0.2,0
r_503,AI01358,0.25,0
r_1027,AI05568,0.5,1
r_503,AI12034,0.25,0
r_2724,AI08219,0.5,1
r_1426,AI00156,0.5,1
r_224,AI01804,0.25,0
r_12,AI04585,0.2,0
r_451,AI01988,0.2,0
r_562,AI12850,0.25,0
r_93,AI12856,0.2,0
r_539,AI14352,0.25,0
r_594,AI03108,0.25,0
r_375,AI05468,0.25,0
r_539,AI01589,0.2,0
r_562,AI07019,0.2,0
r_58,AI04287,0.25,0
r_656,AI12961,0.25,0
r_160,AI07207,0.25,0
r_224,AI09100,0.2,0
r_89,AI05475,0.25,0
r_111,AI01886,0.25,0
r_1817,AI00045,0.5,1
r_209,AI02687,0.25,0
r_562,AI07257,0.2,0
r_566,AI14751,0.2,0
r_673,AI06615,0.25,0
r_187,AI08644,0.25,0
r_599,AI02054,0.5,1
r_451,AI01737,0.2,0
r_561,AI14333,0.2,0
r_12,AI04342,0.2,0
r_566,AI09619,0.2,0
r_588,AI11315,0.2,0
r_346,AI03795,0.25,0
r_561,AI06749,0.25,0
r_594,AI12788,0.2,0
r_93,AI13512,0.25,0
r_599,AI03236,0.2,0
r_375,AI14445,0.2,0
r_93,AI14746,0.25,0
r_111,AI04287,0.25,0
r_566,AI04971,0.2,0
r_406,AI13473,0.2,0
r_209,AI01469,0.25,0
r_599,AI13233,0.2,0
r_406,AI09436,0.2,0
r_224,AI05597,0.25,0
r_93,AI01026,0.2,0
r_451,AI10859,0.25,0
r_12,AI06509,0.25,0
r_406,AI01589,0.2,0
r_209,AI06166,0.2,0
r_58,AI05988,0.2,0
r_111,AI09408,0.2,0
r_89,AI03106,0.2,0
r_406,AI01517,0.2,0
r_594,AI11536,0.2,0
r_187,AI14751,0.2,0
r_12,AI13918,0.25,0
r_58,AI09014,0.25,0
r_111,AI14746,0.25,0
r_132,AI13512,0.25,0
r_656,AI12930,0.25,0
r_575,AI00124,0.2,0
r_2063,AI13061,0.5,1
r_562,AI09782,0.25,0
r_1205,AI10648,0.5,1
r_566,AI01479,0.2,0
r_93,AI09720,0.2,0
r_346,AI12214,0.25,0
r_134,AI10685,0.25,0
r_656,AI10316,0.2,0
r_346,AI12077,0.25,0
r_187,AI12179,0.25,0
r_503,AI10209,0.2,0
r_451,AI05197,0.25,0
r_673,AI10737,0.25,0
r_111,AI09398,0.25,0
r_406,AI01159,0.25,0
r_160,AI10709,0.25,0
r_575,AI10331,0.25,0
r_503,AI01651,0.25,0
r_174,AI09894,0.2,0
r_224,AI13081,0.2,0
r_200,AI12319,0.2,0
r_588,AI04270,0.2,0
r_539,AI13379,0.2,0
r_346,AI01588,0.25,0
r_58,AI05689,0.2,0
r_93,AI10702,0.2,0
r_2895,AI11490,0.5,1
r_12,AI08049,0.2,0
r_375,AI01777,0.2,0
r_2504,AI05301,0.5,1
r_187,AI01200,0.2,0
r_656,AI10463,0.25,0
r_209,AI09091,0.25,0
r_451,AI00447,0.2,0
r_174,AI05782,0.25,0
r_451,AI11905,0.25,0
r_673,AI06182,0.25,0
r_187,AI04622,0.2,0
r_1724,AI06832,0.5,1
r_756,AI14187,0.5,1
r_134,AI11970,0.5,1
r_209,AI08074,0.2,0
r_224,AI11644,0.25,0
r_89,AI06873,0.2,0
r_174,AI11025,0.25,0
r_346,AI06936,0.2,0
r_224,AI14224,0.25,0
r_503,AI06938,0.25,0
r_346,AI14589,0.2,0
r_174,AI05350,0.25,0
r_566,AI04698,0.2,0
r_12,AI04869,0.2,0
r_656,AI06292,0.2,0
r_561,AI10720,0.25,0
r_200,AI01051,0.25,0
r_599,AI00082,0.25,0
r_187,AI14787,0.25,0
r_681,AI00156,0.5,1
r_160,AI13473,0.2,0
r_1790,AI10026,0.5,1
r_209,AI09039,0.2,0
r_599,AI03784,0.2,0
r_209,AI07018,0.5,1
r_673,AI12186,0.2,0
r_174,AI06503,0.2,0
r_209,AI13748,0.2,0
r_562,AI07220,0.25,0
r_2284,AI09066,0.5,1
r_561,AI11705,0.2,0
r_503,AI06879,0.2,0
r_93,AI00116,0.25,0
r_224,AI04639,0.2,0
r_451,AI09662,0.2,0
r_111,AI05865,0.25,0
r_160,AI06646,0.2,0
r_174,AI08098,0.2,0
r_346,AI08844,0.2,0
r_132,AI05042,0.2,0
r_132,AI06749,0.25,0
r_673,AI02159,0.25,0
r_588,AI04761,0.2,0
r_599,AI02189,0.2,0
r_673,AI00448,0.2,0
r_588,AI02168,0.25,0
r_346,AI01589,0.2,0
r_134,AI13489,0.2,0
r_89,AI05510,0.2,0
r_656,AI01086,0.2,0
r_673,AI02927,0.2,0
r_561,AI02965,0.2,0
r_566,AI12382,0.25,0
r_575,AI00063,0.25,0
r_160,AI05425,0.2,0
r_224,AI00170,0.25,0
r_12,AI00816,0.25,0
r_539,AI11647,0.25,0
r_134,AI11109,0.25,0
r_599,AI09840,0.25,0
r_575,AI08063,0.2,0
r_575,AI10700,0.25,0
r_346,AI09840,0.25,0
r_224,AI06067,0.2,0
r_594,AI13825,0.25,0
r_111,AI07691,0.2,0
r_594,AI12513,0.25,0
r_224,AI07798,0.2,0
r_1027,AI05177,0.5,1
r_200,AI13233,0.2,0
r_566,AI00593,0.25,0
r_594,AI11644,0.25,0
r_575,AI12262,0.2,0
r_89,AI07591,0.2,0
r_673,AI09415,0.5,1
r_792,AI06296,0.5,1
r_93,AI05108,0.2,0
r_2922,AI10551,0.5,1
r_111,AI06738,0.25,0
r_561,AI13903,0.25,0
r_200,AI01588,0.25,0
r_588,AI09782,0.25,0
r_539,AI02578,0.2,0
r_503,AI09669,0.2,0
r_134,AI10791,0.25,0
r_187,AI11507,0.25,0
r_89,AI06694,0.5,1
r_209,AI08583,0.25,0
r_89,AI09548,0.2,0
r_588,AI07498,0.25,0
r_89,AI09267,0.25,0
r_58,AI06877,0.2,0
r_160,AI10302,0.25,0
r_562,AI12164,0.2,0
r_656,AI13493,0.25,0
r_656,AI10331,0.25,0
r_209,AI03552,0.25,0
r_224,AI10706,0.25,0
r_89,AI04098,0.2,0
r_632,AI11986,0.2,0
r_451,AI05431,0.2,0
r_673,AI04570,0.25,0
r_111,AI06729,0.25,0
r_656,AI10305,0.2,0
r_503,AI03189,0.25,0
r_187,AI14441,0.25,0
r_451,AI04970,0.25,0
r_539,AI14751,0.2,0
r_594,AI10685,0.25,0
r_174,AI00294,0.25,0
r_562,AI14151,0.25,0
r_89,AI07824,0.25,0
r_111,AI06723,0.2,0
r_632,AI14299,0.25,0
r_209,AI11621,0.25,0
r_2667,AI09066,0.5,1
r_588,AI12155,0.25,0
r_174,AI12276,0.2,0
r_375,AI05376,0.25,0
r_187,AI00274,0.2,0
r_12,AI02421,0.25,0
r_132,AI04134,0.25,0
r_160,AI02051,0.25,0
r_451,AI06171,0.2,0
r_539,AI09372,0.2,0
r_187,AI03058,0.25,0
r_599,AI11122,0.5,1
r_451,AI13758,0.25,0
r_174,AI13733,0.25,0
r_187,AI13101,0.25,0
r_160,AI01930,0.25,0
r_224,AI12502,0.2,0
r_575,AI11508,0.25,0
r_58,AI09435,0.25,0
r_174,AI03275,0.2,0
r_346,AI04262,0.2,0
r_503,AI03457,0.25,0
r_89,AI11209,0.25,0
r_575,AI01534,0.25,0
r_58,AI09839,0.2,0
r_594,AI10740,0.25,0
r_594,AI13979,0.2,0
r_93,AI03139,0.25,0
r_89,AI10008,0.25,0
r_224,AI12336,0.2,0
r_594,AI05009,0.2,0
r_503,AI12574,0.25,0
r_632,AI08339,0.25,0
r_187,AI01387,0.2,0
r_209,AI08048,0.25,0
r_134,AI03905,0.2,0
r_346,AI10820,0.25,0
r_406,AI09014,0.25,0
r_174,AI12162,0.25,0
r_89,AI04613,0.2,0
r_160,AI00126,0.2,0
r_575,AI10316,0.2,0
r_562,AI01651,0.25,0
r_93,AI06753,0.25,0
r_1774,AI10768,0.5,1
r_406,AI09627,0.25,0
r_111,AI09955,0.2,0
r_562,AI11901,0.25,0
r_58,AI02620,0.25,0
r_187,AI08962,0.2,0
r_111,AI07745,0.25,0
r_562,AI01431,0.2,0
r_200,AI13576,0.25,0
r_375,AI11721,0.2,0
r_969,AI06947,0.5,1
r_451,AI11781,0.5,1
r_566,AI05867,0.2,0
r_224,AI07206,0.25,0
r_632,AI12447,0.2,0
r_200,AI13776,0.25,0
r_566,AI08945,0.25,0
r_2603,AI00007,0.5,1
r_12,AI06221,0.25,0
r_134,AI03889,0.25,0
r_160,AI05066,0.2,0
r_346,AI13318,0.25,0
r_566,AI10709,0.25,0
r_174,AI09135,0.2,0
r_561,AI14699,0.2,0
r_562,AI03076,0.2,0
r_111,AI05197,0.25,0
r_93,AI14287,0.2,0
r_673,AI14488,0.2,0
r_200,AI01507,0.2,0
r_575,AI10404,0.25,0
r_346,AI04222,0.25,0
r_12,AI04467,0.2,0
r_539,AI10799,0.25,0
r_209,AI06676,0.25,0
r_134,AI02391,0.2,0
r_187,AI09995,0.2,0
r_539,AI13594,0.25,0
r_132,AI05603,0.25,0
r_709,AI11212,0.5,1
r_566,AI01981,0.2,0
r_566,AI12868,0.2,0
r_132,AI10024,0.25,0
r_768,AI11212,0.5,1
r_406,AI13495,0.25,0
r_174,AI14438,0.25,0
r_451,AI05073,0.2,0
r_539,AI00208,0.2,0
r_2955,AI05724,0.5,1
r_375,AI08354,0.25,0
r_134,AI05724,0.5,1
r_575,AI00166,0.2,0
r_224,AI06480,0.25,0
r_575,AI12371,0.25,0
r_588,AI06608,0.25,0
r_187,AI14792,0.2,0
r_562,AI04469,0.25,0
r_561,AI01643,0.2,0
r_160,AI10970,0.2,0
r_200,AI05192,0.2,0
r_594,AI06153,0.2,0
r_656,AI10970,0.2,0
r_406,AI02572,0.2,0
r_656,AI02424,0.2,0
r_539,AI10938,0.2,0
r_134,AI11595,0.25,0
r_561,AI04499,0.25,0
r_160,AI11603,0.25,0
r_134,AI09540,0.2,0
r_594,AI14173,0.2,0
r_2953,AI13435,0.5,1
r_174,AI13954,0.2,0
r_599,AI12640,0.2,0
r_632,AI04098,0.2,0
r_2927,AI01770,0.5,1
r_93,AI07810,0.25,0
r_187,AI05174,0.2,0
r_561,AI07825,0.25,0
r_599,AI10715,0.2,0
r_768,AI06825,0.5,1
r_2284,AI11959,0.5,1
r_375,AI03544,0.25,0
r_656,AI09671,0.25,0
r_2869,AI14187,0.5,1
r_562,AI14666,0.25,0
r_224,AI00064,0.25,0
r_2716,AI10457,0.5,1
r_562,AI03351,0.2,0
r_93,AI10958,0.2,0
r_599,AI00156,0.5,1
r_346,AI04504,0.25,0
r_209,AI01927,0.25,0
r_594,AI04556,0.2,0
r_160,AI04100,0.25,0
r_451,AI02782,0.25,0
r_346,AI11781,0.5,1
r_575,AI01488,0.2,0
r_406,AI00100,0.2,0
r_174,AI04960,0.25,0
r_209,AI08476,0.2,0
r_673,AI04335,0.25,0
r_566,AI13713,0.25,0
r_566,AI11506,0.2,0
r_673,AI10289,0.2,0
r_209,AI11381,0.2,0
r_451,AI04465,0.25,0
r_539,AI13736,0.5,1
r_594,AI08272,0.25,0
r_134,AI00952,0.25,0
r_134,AI12010,0.2,0
r_134,AI07280,0.25,0
r_566,AI10702,0.2,0
r_656,AI00946,0.25,0
r_451,AI06058,0.2,0
r_539,AI12825,0.2,0
r_200,AI13493,0.25,0
r_375,AI06029,0.2,0
r_132,AI13776,0.25,0
r_656,AI13748,0.2,0
r_503,AI08061,0.2,0
r_575,AI04678,0.2,0
r_209,AI13062,0.25,0
r_134,AI00251,0.2,0
r_588,AI06515,0.25,0
r_111,AI00464,0.25,0
r_111,AI11190,0.25,0
r_562,AI14086,0.2,0
r_632,AI01735,0.25,0
r_575,AI08515,0.25,0
r_346,AI10173,0.2,0
r_451,AI10885,0.25,0
r_406,AI07685,0.25,0
r_588,AI03457,0.25,0
r_539,AI11365,0.2,0
r_174,AI05506,0.2,0
r_160,AI11905,0.25,0
r_2299,AI05301,0.5,1
r_632,AI13785,0.2,0
r_539,AI06162,0.2,0
r_89,AI10944,0.25,0
r_588,AI13854,0.25,0
r_111,AI06601,0.25,0
r_562,AI07753,0.2,0
r_562,AI07954,0.2,0
r_561,AI11721,0.2,0
r_160,AI02183,0.25,0
r_12,AI01300,0.25,0
r_575,AI00365,0.2,0
r_346,AI10449,0.25,0
r_2857,AI06627,0.5,1
r_187,AI05236,0.2,0
r_503,AI09879,0.2,0
r_673,AI09804,0.25,0
r_594,AI11265,0.2,0
r_561,AI11781,0.5,1
r_599,AI04702,0.25,0
r_187,AI01488,0.2,0
r_132,AI10168,0.25,0
r_132,AI13255,0.25,0
r_562,AI07291,0.2,0
r_12,AI07632,0.25,0
r_656,AI13758,0.25,0
r_134,AI11045,0.25,0
r_656,AI04611,0.2,0
r_224,AI14074,0.2,0
r_561,AI04578,0.2,0
r_2264,AI04200,0.5,1
r_375,AI07691,0.2,0
r_111,AI10944,0.25,0
r_187,AI09603,0.25,0
r_1961,AI11748,0.5,1
r_599,AI10570,0.2,0
r_111,AI05407,0.25,0
r_594,AI08305,0.25,0
r_134,AI13625,0.25,0
r_160,AI10701,0.2,0
r_132,AI12688,0.25,0
r_209,AI04308,0.2,0
r_503,AI13374,0.25,0
r_375,AI10885,0.25,0
r_575,AI11616,0.2,0
r_375,AI03889,0.25,0
r_209,AI07407,0.25,0
r_588,AI01541,0.25,0
r_12,AI13633,0.2,0
r_406,AI01174,0.25,0
r_174,AI07071,0.2,0
r_1952,AI00007,0.5,1
r_12,AI09627,0.25,0
r_93,AI02654,0.25,0
r_539,AI11603,0.25,0
r_209,AI00391,0.2,0
r_406,AI04749,0.25,0
r_132,AI08644,0.25,0
r_111,AI04776,0.25,0
r_2088,AI07018,0.5,1
r_174,AI03521,0.2,0
r_632,AI02572,0.2,0
r_12,AI12445,0.25,0
r_561,AI11101,0.25,0
r_673,AI06439,0.2,0
r_561,AI00579,0.2,0
r_575,AI01665,0.25,0
r_406,AI12643,0.2,0
r_562,AI13935,0.2,0
r_174,AI11331,0.25,0
r_93,AI05798,0.25,0
r_174,AI03817,0.2,0
r_111,AI07838,0.25,0
r_134,AI14224,0.25,0
r_673,AI01450,0.2,0
r_599,AI08282,0.2,0
r_134,AI03574,0.5,1
r_89,AI06078,0.25,0
r_224,AI08883,0.2,0
r_58,AI01368,0.2,0
r_503,AI10925,0.2,0
r_566,AI09785,0.2,0
r_588,AI08819,0.2,0
r_132,AI09779,0.25,0
r_562,AI08429,0.5,1
r_160,AI11600,0.2,0
r_187,AI11270,0.2,0
r_632,AI01604,0.2,0
